CMS Incident Date,CMS CF Issue Date,CMS Complaint Close Date Year,CMS Complainant Source Desc,CMS Complainant Gender Desc,CMS Complainant Ethnicity Desc,CMS Accused at Incd Emp Type Desc,CMS Accused at Incd Gender Desc,CMS Accused at Incd Ethnicity Desc,CMS Allegation Type Description,CMS Disposition Type Description
"April 13, 2014","November 25, 2014",2018,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Undetermined,Consolidated
,,,,,,,,White,Undetermined,Consolidated
"January 1, 2001","June 10, 2015",2022,Public-Person Involved,FEMALE,Other,Sworn Employee,MALE,White,Undetermined,Consolidated
"October 30, 2015","October 30, 2015",2017,Public-Person Involved,FEMALE,NULL,Sworn Employee,MALE,Hispanic,Undetermined,Consolidated
,,,,,,,,White,Undetermined,Consolidated
"November 19, 2015","November 19, 2015",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Black,Undetermined,Consolidated
"November 20, 2015","November 20, 2015",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Undetermined,Consolidated
"November 10, 2015","November 20, 2015",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Black,Undetermined,Consolidated
,,,,,,,,White,Undetermined,Consolidated
"November 28, 2015","November 28, 2015",2017,Public-Person Involved,MALE,Black,Sworn Employee,MALE,White,Undetermined,Consolidated
,"November 29, 2015",2017,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,Hispanic,Undetermined,Consolidated
,,,,,,,MALE,White,Undetermined,Consolidated
"November 25, 2015","December 7, 2015",2017,Public-Third Party,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Undetermined,Consolidated
"December 10, 2015","January 7, 2016",2017,Public-Person Involved,UNKNOWN,UNKNOWN,Sworn Employee,FEMALE,Hispanic,Sexual Misconduct,Consolidated
"January 21, 2016","January 27, 2016",2017,Public-Third Party,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Undetermined,Consolidated
,,,,,,,,White,Undetermined,Consolidated
"January 27, 2016","February 6, 2016",2017,Public-Person Involved,FEMALE,UNKNOWN,Sworn Employee,MALE,Other,Undetermined,Consolidated
,,,,,,,,White,Undetermined,Consolidated
"February 12, 2016","March 2, 2016",2017,Public-Person Involved,NULL,NULL,Sworn Employee,MALE,Hispanic,Undetermined,Consolidated
,,,,,,,,White,Undetermined,Consolidated
"March 19, 2016","March 19, 2016",2017,Public-Third Party,FEMALE,Hispanic,Sworn Employee,MALE,White,Undetermined,Consolidated
,"July 27, 2017",2017,Public-Person Involved,NULL,Asian,Sworn Employee,MALE,Black,Undetermined,Consolidated
